iter	Logloss
0	0.6838011368
1	0.6754473479
2	0.6683944702
3	0.6608978271
4	0.6538522472
5	0.6457832005
6	0.6389897886
7	0.6315502664
8	0.6246798308
9	0.6195232889
10	0.6147825822
11	0.6108503922
12	0.6045136825
13	0.5999361785
14	0.5956294848
15	0.5904487278
16	0.5851936009
17	0.580421116
18	0.5750717827
19	0.5717484847
20	0.5672430287
21	0.5635317595
22	0.5586090088
23	0.5537327642
24	0.5520666371
25	0.5484094039
26	0.544217516
27	0.5415853086
28	0.5372833584
29	0.5340186741
30	0.5304800614
31	0.5273359216
32	0.5243037016
33	0.5213533816
34	0.5185155454
35	0.5161679475
36	0.5132299672
37	0.5104377747
38	0.5075880631
39	0.5058276633
40	0.5033481764
41	0.5007938219
42	0.4991977194
43	0.4972677811
44	0.4952045938
45	0.4931934523
46	0.4909839133
47	0.4906598298
48	0.4883447398
49	0.4865326591
50	0.4836154108
51	0.4817801766
52	0.481127598
53	0.478589597
54	0.4765114494
55	0.4748507956
56	0.472668258
57	0.4709079245
58	0.4681510594
59	0.466566998
60	0.4653413856
61	0.4631517493
62	0.4618697788
63	0.4604195636
64	0.4589213164
65	0.4576260442
66	0.4556220677
67	0.4533937537
68	0.4515802798
69	0.4498167287
70	0.4485917465
71	0.4469497681
72	0.4459435504
73	0.4432982072
74	0.4426446666
75	0.4413642883
76	0.439781189
77	0.4385598224
78	0.4371101711
79	0.4353127521
80	0.434080041
81	0.4325343256
82	0.4312701018
83	0.4301641713
84	0.4291308196
85	0.4277368297
86	0.4261196302
87	0.4244667385
88	0.4235652094
89	0.4222946167
90	0.4222434666
91	0.4209413611
92	0.4204586527
93	0.4188644077
94	0.417710014
95	0.416466489
96	0.4150611877
97	0.4136552894
98	0.4124564793
99	0.4109433381
100	0.4102088597
101	0.409059906
102	0.4075348564
103	0.4065171615
104	0.4051400226
105	0.4039787624
106	0.4029958642
107	0.4020054693
108	0.401076972
109	0.4003130042
110	0.3988448765
111	0.3978832742
112	0.3973776776
113	0.3965088886
114	0.3959565536
115	0.3950022158
116	0.3941287497
117	0.3929086768
118	0.3914169643
119	0.3906022113
120	0.389869889
121	0.3891157067
122	0.388432113
123	0.3873734847
124	0.3867359991
125	0.3855703271
126	0.3852007659
127	0.3844546111
128	0.3834769207
129	0.3827113939
130	0.3817693627
131	0.3808900253
132	0.3796505804
133	0.378627379
134	0.3777360667
135	0.3768542746
136	0.3761703823
137	0.375557178
138	0.3749036374
139	0.3743838766
140	0.3735743979
141	0.3728325554
142	0.3715044768
143	0.3705172995
144	0.3698370229
145	0.3691785729
146	0.3684019006
147	0.3677909851
148	0.3673237676
149	0.3665043043
150	0.3655296326
151	0.3650267891
152	0.3646686388
153	0.3637858515
154	0.3630514394
155	0.3623535156
