iter	Passed	Remaining
0	6	1972
1	14	2330
2	21	2276
3	28	2287
4	34	2243
5	43	2322
6	63	2930
7	81	3252
8	93	3304
9	100	3189
10	111	3219
11	121	3194
12	131	3185
13	140	3145
14	150	3130
15	155	3041
16	159	2923
17	163	2813
18	166	2708
19	170	2628
20	179	2631
21	185	2581
22	189	2508
23	192	2434
24	194	2357
25	196	2287
26	199	2220
27	201	2159
28	203	2100
29	206	2048
30	208	1998
31	209	1941
32	212	1898
33	214	1858
34	217	1818
35	218	1775
36	221	1741
37	223	1707
38	225	1674
39	228	1647
40	231	1619
41	233	1591
42	236	1564
43	238	1538
44	240	1513
45	242	1489
46	245	1467
47	246	1435
48	248	1414
49	251	1397
50	253	1379
51	256	1363
52	258	1340
53	261	1324
54	263	1308
55	266	1293
56	269	1279
57	272	1266
58	274	1251
59	277	1238
60	279	1224
61	282	1211
62	285	1199
63	287	1186
64	290	1174
65	293	1164
66	295	1152
67	298	1140
68	300	1129
69	303	1119
70	306	1109
71	309	1099
72	311	1089
73	314	1078
74	316	1069
75	319	1058
76	321	1049
77	324	1040
78	327	1031
79	329	1022
80	332	1014
81	335	1006
82	338	997
83	340	989
84	343	980
85	345	973
86	348	966
87	351	959
88	355	953
89	357	946
90	358	934
91	361	927
92	364	920
93	367	913
94	369	906
95	372	899
96	374	892
97	377	885
98	379	878
99	382	871
100	384	864
101	387	858
102	390	852
103	392	845
104	394	838
105	396	831
106	399	824
107	401	818
108	404	811
109	406	805
110	408	799
111	411	792
112	413	786
113	415	780
114	417	774
115	420	768
116	422	762
117	424	756
118	427	750
119	429	744
120	431	738
121	433	732
122	436	727
123	438	721
124	441	716
125	443	711
126	445	705
127	448	700
128	450	695
129	453	690
130	455	684
131	457	679
132	459	674
133	462	669
134	464	663
135	467	659
136	469	654
137	471	649
138	474	644
139	476	639
140	478	634
141	481	630
142	483	625
143	485	620
144	488	616
145	490	611
146	492	606
147	495	602
148	497	598
149	500	593
150	502	589
151	504	584
152	507	580
153	509	575
154	512	571
155	514	567
156	516	563
157	519	558
158	521	554
159	523	550
160	526	545
161	528	541
162	530	537
163	533	533
164	535	529
165	538	525
166	540	520
167	542	516
168	545	512
169	547	508
170	550	505
171	552	500
172	554	497
173	557	493
174	559	489
175	561	485
176	564	481
177	566	477
178	568	473
179	570	469
180	573	465
181	575	461
182	577	457
183	580	454
184	582	450
185	585	446
186	587	442
187	589	439
188	591	435
189	594	431
190	595	427
191	598	423
192	600	420
193	602	416
194	605	412
195	607	409
196	609	405
197	612	402
198	614	398
199	617	395
200	619	391
201	622	388
202	624	384
203	626	380
204	629	377
205	631	374
206	634	370
207	636	367
208	639	363
209	641	360
210	643	357
211	646	353
212	648	350
213	650	346
214	653	343
215	655	339
216	658	336
217	660	333
218	662	329
219	665	326
220	667	323
221	669	319
222	670	315
223	672	312
224	675	309
225	677	305
226	680	302
227	682	299
228	684	295
229	686	292
230	689	289
231	691	286
232	693	282
233	696	279
234	698	276
235	700	273
236	703	270
237	705	266
238	708	263
239	710	260
240	712	257
241	715	254
242	717	250
243	719	247
244	722	244
245	724	241
246	726	238
247	729	235
248	731	232
249	733	228
250	736	225
251	739	222
252	741	219
253	743	216
254	746	213
255	748	210
256	751	207
257	753	204
258	756	201
259	758	198
260	760	195
261	762	191
262	764	189
263	767	186
264	770	183
265	772	180
266	775	177
267	777	174
268	780	171
269	782	168
270	784	165
271	787	162
272	790	159
273	792	156
274	794	153
275	797	150
276	799	147
277	802	144
278	804	141
279	805	138
280	808	135
281	810	132
282	813	129
283	815	126
284	817	123
285	819	120
286	822	117
287	825	114
288	827	111
289	829	108
290	832	105
291	834	102
292	837	100
293	839	97
294	842	94
295	845	91
296	847	88
297	850	85
298	852	82
299	855	79
300	857	76
301	860	74
302	862	71
303	864	68
304	867	65
305	869	62
306	871	59
307	874	56
308	876	53
309	878	51
310	881	48
311	883	45
312	886	42
313	888	39
314	890	36
315	893	33
316	895	31
317	897	28
318	899	25
319	902	22
320	904	19
321	906	16
322	909	14
323	911	11
324	914	8
325	916	5
326	919	2
327	921	0
